date,time_ist,dir,ret_bps,attributed_cause,first_reporter,first_report_date,scoop_headline,classifier_path
2026-03-19,14:55,-,25.6,"Brent crude $110+, US-Israel-Iran escalation, hawkish Fed comments, FII selling; HDFC Bank chairman Atanu Chakraborty resigns (corporate)",Bloomberg / Business Standard / Economic Times wire on energy attack; HDFC Bank stock-exchange filing for chairman resignation,2026-03-18 evening (HDFC) / 2026-03-19 (oil),Crude soars above $110 on Mid-East escalation; HDFC Bank chairman resigns,oil_spike + geopolitical_escalation; corporate_india_megacap (HDFC + 'ceo resigns')
2026-03-20,15:01,+,25.3,Oil prices ease; Trump-Netanyahu signal no immediate escalation,Reuters / Al Jazeera / Bloomberg,2026-03-20,Trump and Netanyahu signal no immediate escalation; oil eases from $119,geopolitical_deescalation + oil_crash
2026-03-23,14:33,-,21.7,Indian LPG tankers fired upon in Strait of Hormuz; FII outflows; INR low; HDFC leadership concerns,UK Maritime Trade Operations Center; TankerTrackers.com (X/Twitter); scaled out via Reuters/AP,2026-03-21/22 (incident); 2026-03-23 (market reaction),Two Indian-flagged tankers fired upon in Strait of Hormuz,geopolitical_escalation (tanker attacked / hormuz disruption)
2026-03-24,12:22,+,27.5,Trump Truth Social post: 5-day halt on strikes against Iran energy infrastructure; Brent crashed -10% to $100,"Trump Truth Social → Bloomberg, CNBC, Al Jazeera, NBC simultaneous coverage",2026-03-23 (Mon Truth Social),Trump postpones Iran energy strikes for five days after 'productive' talks,"geopolitical_deescalation (productive talks, halts operation, suspends operation) + oil_crash"
2026-04-01,13:41,-,22.8,Re-escalation in West Asia; oil up; FII selling persists,Wire services (Reuters/Bloomberg),2026-04-01,West Asia tensions reignite as Iran rejects further talks,geopolitical_escalation
2026-04-02,14:46,+,20.7,Final-hour buying — recovered from early Iran-tension dip,(no single clear scoop),n/a,(no clear single scoop),(would not classify cleanly)
2026-04-06,12:20,+,28.0,US-Iran two-week ceasefire (mediated by Pakistan); Strait of Hormuz reopening; Brent $115 → $95-98,"Trump Truth Social post (Mon morning US time, evening IST 2026-04-06/07); Pakistan PM/military mediation reported by Fox News/CBS/NBC",2026-04-06 (US time evening) — broadly published 04-07 IST,Trump pauses Iran strikes for two weeks to negotiate 10-point peace deal,geopolitical_deescalation (ceasefire + 10-point peace deal)
2026-04-07,09:26,+,19.0,Continuation of ceasefire-rally + KOSPI / global tech surge,Multiple wire,2026-04-07,Sensex jumps 500 points on global rally and ceasefire optimism,geopolitical_deescalation
2026-04-10,14:15,-,20.2,FII outflows continue; Iran ceasefire fragility; oil bounce,Wire services,2026-04-10,Markets fall on Iran ceasefire jitters; oil ticks up,(weak — depends on phrasing; might miss without 'ceasefire broken')
2026-04-13,15:00,-,17.6,US-Iran Islamabad peace talks COLLAPSED over the weekend; Strait of Hormuz risk re-emerges,"NPR (5:40 AM ET, 2026-04-12) — earliest of the major outlets; WaPo / Al Jazeera / NBC same day",2026-04-12 morning ET,US-Iran peace talks collapse in Islamabad after 21 hours of negotiation,"geopolitical_escalation (talks collapse — but 'talks collapse' is a NEGATION_BLOCKER for de-escalation, not currently a positive trigger for escalation. CLASSIFIER GAP)"
2026-05-06,14:20,+,20.2,Axios scoop: 'one-page memo to end war' between US and Iran,"AXIOS (Barak Ravid), 14:20 IST exclusive",2026-05-06 14:20 IST,Exclusive: U.S. and Iran closing in on one-page memo to end war,"geopolitical_deescalation (closing in on memo, end war, memo to end war — ALL added in latest keywords expansion)"
